Спеціальність,Здобувачів
012 Дошкільна освіта,137
013 Початкова освіта,360
014 Середня освіта,124
017 Фізична культура і спорт,51
022 Дизайн,116
"023 Образотворче мистецтво, декоративне мистецтво, реставрація",26
024 Хореографія,12
025 Музичне мистецтво,160
028 Менеджмент соціокультурної діяльності,23
"029 Інформаційна, бібліотечна та архівна справа",18
071 Облік і оподаткування,262
"072 Фінанси, банківська справа, страхування та фондовий ринок",282
073 Менеджмент,154
075 Маркетинг,33
076 Підприємництво та торгівля,274
081 Право,656
101 Екологія,28
113 Прикладна математика,64
121 Інженерія програмного забезпечення,509
123 Комп’ютерна інженерія,73
125 Кібербезпека та захист інформації,85
133 Галузеве машинобудування,130
"141 Електроенергетика, електротехніка та електромеханіка",322
151 Автоматизація та комп’ютерно-інтегровані технології,55
161 Хімічні технології та інженерія,41
"174 Автоматизація, комп’ютерно-інтегровані технології та робототехніка",38
181 Харчові технології,279
182 Технології легкої промисловості,133
192 Будівництво та цивільна інженерія,639
193 Геодезія та землеустрій,194
201 Агрономія,298
204 Технологія виробництва і переробки продукції тваринництва,178
205 Лісове господарство,303
206 Садово-паркове господарство,101
208 Агроінженерія,289
211 Ветеринарна медицина,129
221 Стоматологія,33
223 Медсестринство,527
231 Соціальна робота,24
241 Готельно-ресторанна справа,145
242 Туризм і рекреація,59
274 Автомобільний транспорт,546
275 Транспортні технології,222
